a,b,c,d,e,text
"0","2327861456","Thu Jun 25 08:52:42 PDT 2009","NO_QUERY","hasu_","OK. i knw dis is no tech support forum.. bt m hving dis iritatng firefox prob.. no status bar,adrss bar nt wrking.. dn re-install.... "
"0","2327861717","Thu Jun 25 08:52:43 PDT 2009","NO_QUERY","ulises8185","@kristinekilljoy 90's night wasn't the same without u there "
"0","2327861753","Thu Jun 25 08:52:43 PDT 2009","NO_QUERY","NADMEVENTS","Bad things happened 2 my hair man, smh. Not a good idea 2 go to sleep w a wet head. I now have dreads  tryin not 2 cry...."
"0","2327862658","Thu Jun 25 08:52:47 PDT 2009","NO_QUERY","mixtapekisses","@TuesdayBlues HEHEHEHEHEHE yknow I wanted to tell you I missed you once when I saw you log in!!! But I didn't  -TOO SHY HAHA"
"0","2327863305","Thu Jun 25 08:52:50 PDT 2009","NO_QUERY","KoRoJo","M'n'Ms, powdered dohnuts and cheetos...gross "
"0","2327864178","Thu Jun 25 08:52:54 PDT 2009","NO_QUERY","thedz","@divestoclimb the only seating area available was general admission, so I'm thinking the presale allocation ran out "
"0","2327864269","Thu Jun 25 08:52:54 PDT 2009","NO_QUERY","JanelleCaluag","Good morning. Sooo I'm sick. Whoopee. Not "
"0","2327864730","Thu Jun 25 08:52:56 PDT 2009","NO_QUERY","AlmaLaCubana","Ahh,sudden onslaught of allergies! No me gusta. Ugh,I can barely breathe "
"0","2327864881","Thu Jun 25 08:52:58 PDT 2009","NO_QUERY","goblue8426","@Barefoot_Ant July 28, the tuesday before DC...won't you be in training them? "
"0","2327865540","Thu Jun 25 08:53:00 PDT 2009","NO_QUERY","deniseinaldo","@ninghil Why?  i mean, what's with the song? Demet."
"0","2327865952","Thu Jun 25 08:53:02 PDT 2009","NO_QUERY","Relene","i think my tanning day is canceled today  , its supposed to rain and its really sticky outside, but no sun! "
"0","2327865953","Thu Jun 25 08:53:02 PDT 2009","NO_QUERY","lucianaluraschi","what am I going to do? ... if nobody pays me attention, what a shame  [[losing my faith...]]"
"0","2327876356","Thu Jun 25 08:53:50 PDT 2009","NO_QUERY","Tiff_Tiff_Marie","@BlackMamba23 when I go to www.cocktailour.com I can see it... I dunno why u don't "
"0","2327876448","Thu Jun 25 08:53:50 PDT 2009","NO_QUERY","sweetemmaxxx","@pdurham awww! i wasent ablt to stop for lunch today either was SO busy doing work LOL. is not good "
"0","2327876770","Thu Jun 25 08:53:51 PDT 2009","NO_QUERY","CherryCharmed","Is very sad!  x"
"0","2327876791","Thu Jun 25 08:53:52 PDT 2009","NO_QUERY","JackWilder","my mate kieren leaves to live in New Zealand on saturday  quite upsetting. Drunken times tonight with him, gonna be one hell of a send off"
"0","2327876823","Thu Jun 25 08:53:52 PDT 2009","NO_QUERY","lonelyandroid","Ur crazy! Anyone that eats like you has to be insane! Haha!   Lonelyandroid ):"
"0","2327876830","Thu Jun 25 08:53:52 PDT 2009","NO_QUERY","valandcaleb","@adammshankman you are ALWAYS good on the panel!!  I miss you already!  "
"0","2327877016","Thu Jun 25 08:53:52 PDT 2009","NO_QUERY","lindaaaa","cleaning my closet. @achen92 knows how messy it is "
"0","2327877281","Thu Jun 25 08:53:54 PDT 2009","NO_QUERY","marcohamersma","Well, The front-ending was nice. Turned out there is some back-ending to do as well, I'm not enjoying myself "
"0","2327877439","Thu Jun 25 08:53:54 PDT 2009","NO_QUERY","lorn5285","Wimbledon again...whilst eating raspberries.  They were to be accompanied by blackberries but they'd grown fur "
"0","2327877593","Thu Jun 25 08:53:55 PDT 2009","NO_QUERY","alicecullen4556","@CarlisleRCullen yes... but he and I can't find each other on twitter "
"0","2327877663","Thu Jun 25 08:53:55 PDT 2009","NO_QUERY","merc0ll","goddamnit, now i can't even check my SAT scores? "
"0","2327877689","Thu Jun 25 08:53:55 PDT 2009","NO_QUERY","D1znee","@DarkPebles miss u more it's so hot and quiet here "
"0","2327877773","Thu Jun 25 08:53:56 PDT 2009","NO_QUERY","mattmacnaughton","I hate re-reading tweets that I post from my b-berry with mis-spellings and I can't delete and repost from my phone "
"0","2327877778","Thu Jun 25 08:53:56 PDT 2009","NO_QUERY","Nightgunner5","Spore galactic adventures won't let me share my newest adventure  Asking for help on the forums."
"0","2327878022","Thu Jun 25 08:53:57 PDT 2009","NO_QUERY","dasMB","leaving now back to America was was really sad to leave but things are heating up here and i should really go i don't belong "
"0","2327878353","Thu Jun 25 08:53:58 PDT 2009","NO_QUERY","sixducepinoy","sleeping today till i go to work at 2pm "
"0","2327879277","Thu Jun 25 08:54:03 PDT 2009","NO_QUERY","RebelAngel","Work from noon till 4 today is not gonna be fun...plus im hungry "
"0","2327879418","Thu Jun 25 08:54:03 PDT 2009","NO_QUERY","onesixeight","The CNBC audio feed cut out just when Bernanke was answering the million dollar question - regarding the competentcy of Ken Lewis "
"0","2327879896","Thu Jun 25 08:54:05 PDT 2009","NO_QUERY","JoeFreeman1978","Is nervous he wont be able to get tickets to see Have Heart in Vienna especially as they are spliting after this tour "
"0","2327879988","Thu Jun 25 08:54:06 PDT 2009","NO_QUERY","rrradiogirrrl","aha, deredactie.be confirms it was suicide now  #yasmine"
"0","2327880073","Thu Jun 25 08:54:06 PDT 2009","NO_QUERY","lou89","Out of xray, gotta wait a week! Foot is hurting so much "
"0","2327880210","Thu Jun 25 08:54:07 PDT 2009","NO_QUERY","MissPainterly","@LMDvintage Oh they are gorgeous, just need a proposal I'm afraid   lol"
"0","2327880364","Thu Jun 25 08:54:07 PDT 2009","NO_QUERY","WinnieThePoohxx","@harpreetsohalxx  cow u would cum if it was pillows bday init....dont talk to me    "
"0","2327880896","Thu Jun 25 08:54:10 PDT 2009","NO_QUERY","Megan_cupcake","@insidetheglow @jadaboi @shannaniscool i miss you skanks "
"0","2327881024","Thu Jun 25 08:54:11 PDT 2009","NO_QUERY","nKarinc","Couldn't stop laughing at my sister's Simon Cowell get up today for golf practice. Too bad I left the pictures at the office "
"0","2327881104","Thu Jun 25 08:54:11 PDT 2009","NO_QUERY","Bosarge","I have to take my PSP apart. "
"0","2327881430","Thu Jun 25 08:54:12 PDT 2009","NO_QUERY","gripusa","this windows update has crippled my machine and i m just sitting and staring my machine now "
"0","2327881582","Thu Jun 25 08:54:13 PDT 2009","NO_QUERY","latishalaine","@Friscokidd87 come back  im sad. yeaaaaaaaaaaaaaaaaaaah im gettin money!!!!!!!!"
"0","2327881644","Thu Jun 25 08:54:13 PDT 2009","NO_QUERY","joanachristina","YES! Done with storage. But byebye to my speakers, TV and 30m Ethernet cable for the next 2.5 months. "
"0","2327881838","Thu Jun 25 08:54:14 PDT 2009","NO_QUERY","xoxoMarianna","@AshleyAdriana haha u forgot the @ sign!!!  but yes it was"
"0","2327882216","Thu Jun 25 08:54:16 PDT 2009","NO_QUERY","trevypoos","Fact :3 mobile are as much use as a an expenses claim in Westminster. "
"0","2327882797","Thu Jun 25 08:54:19 PDT 2009","NO_QUERY","ScorpioSwag","@marcvibbert i'm not sure, the last train on friday is at 3 and the first 1 on saturday wouldnt have me there til almost 1... "
"0","2327882862","Thu Jun 25 08:54:19 PDT 2009","NO_QUERY","BluEyesEffect","At work bored, need to get out of working in an office "
"0","2327883667","Thu Jun 25 08:54:22 PDT 2009","NO_QUERY","akasha_c","ah.. tenth grade is hard..!! no matter what people say..!! who am i kidding? i`m not gonna make it through college..!! it`s depressing.. "
"0","2327883989","Thu Jun 25 08:54:24 PDT 2009","NO_QUERY","retro99","@kerrikuklinski how have you met so many celebrities?! It's not fair "
"0","2327884280","Thu Jun 25 08:54:25 PDT 2009","NO_QUERY","Chazzaface","biggar high is officially shut to pupils now "
"0","2327884319","Thu Jun 25 08:54:25 PDT 2009","NO_QUERY","aubsreyy","I slept horribly last night. "
"0","2327884602","Thu Jun 25 08:54:26 PDT 2009","NO_QUERY","MichelleLicious","Why were they the ILLEST. Dun kno MJ touched that  *my views not those of the BBC/1Xtra* !!"
"0","2327885021","Thu Jun 25 08:54:28 PDT 2009","NO_QUERY","VAGlobeTask","http://atwitterprayerforgi.blip.tv/ #Gilad Beautiful video about soldier KIDNAPPED 3 yrs ago and still in captivity. Watch with tissues "
"0","2327885204","Thu Jun 25 08:54:29 PDT 2009","NO_QUERY","tiaquinnn","@kurttheoutsider, "
"0","2327885334","Thu Jun 25 08:54:30 PDT 2009","NO_QUERY","DavidKiff","Great... soon to be forced to work on central hosted XP machine...when our software runs on Server 2008 "
"0","2327885644","Thu Jun 25 08:54:31 PDT 2009","NO_QUERY","TLA_Always_DG","tear tear ITS RAINING !!! outsidee "
"0","2327886601","Thu Jun 25 08:54:36 PDT 2009","NO_QUERY","MrsMoss87","I had a dream that all of the HATERS in the world died  It was sad b/c there was nobody 4 us 2 STUNT on! Thx God for haters = we NEED U!"
"0","2327887340","Thu Jun 25 08:54:39 PDT 2009","NO_QUERY","BabyBernice","@saulbhp And couldn't invite..... "
"0","2327887532","Thu Jun 25 08:54:40 PDT 2009","NO_QUERY","smacula","@FatDaveonaBike gosh... i need to 'unthink' that now... my eyes my eyes my eyes "
"0","2327887572","Thu Jun 25 08:54:40 PDT 2009","NO_QUERY","ken147","I learned something new... cellphones and washing machines don't mix "
"0","2327887606","Thu Jun 25 08:54:40 PDT 2009","NO_QUERY","Pegster1975","@hmdavid Yeah. I am just kinda sick about it. "
"0","2327887647","Thu Jun 25 08:54:40 PDT 2009","NO_QUERY","oshenanigans","why must The Asmodians ladies wear shoes ...? "
"0","2327887799","Thu Jun 25 08:54:41 PDT 2009","NO_QUERY","NazQatar","it's the weekend and i'm still in the office at my desk "
"0","2327887843","Thu Jun 25 08:54:41 PDT 2009","NO_QUERY","babblespace","my email address is correct, and I'm checked for getting updates...but I have yet to receive one "
"0","2327887925","Thu Jun 25 08:54:42 PDT 2009","NO_QUERY","dhanusaud","New theme on delay, trying to complete this week but impossible "
"0","2327888025","Thu Jun 25 08:54:42 PDT 2009","NO_QUERY","awesomebrandi","@sollitaire well, a good number of people dislike coffee, though the peppermint and popcorn thing is weird. a life without popcorn is sad "
"0","2327888192","Thu Jun 25 08:54:43 PDT 2009","NO_QUERY","captain_jen","Why do Revolution's 2-4-1 vouchers only last until 9? We're never out before 9!  And it's so ruddy expensive."
"0","2327888357","Thu Jun 25 08:54:44 PDT 2009","NO_QUERY","gf3","@3rdparty They also don't support bank transfers IIRC  Paypal is still the most ubiquitous / least bad (don't want to say best)"
"0","2327888406","Thu Jun 25 08:54:44 PDT 2009","NO_QUERY","mandamade","@thatguygil happy birthday! can't make it back to slc tonight  hope it's a blast"
"0","2327888423","Thu Jun 25 08:54:44 PDT 2009","NO_QUERY","nomismom","@Mahasin21 (2nd to the 5th) next week man. I'm sad deki can't go tho "
"0","2327888438","Thu Jun 25 08:54:44 PDT 2009","NO_QUERY","Romanticbug","@KINGII lately i lost mines too "
"0","2327888484","Thu Jun 25 08:54:44 PDT 2009","NO_QUERY","MiZzCoPaStEtiC","@FendiDotcom morning bestie! Y didn't u cum wit da bm to my job "
"0","2327889429","Thu Jun 25 08:54:48 PDT 2009","NO_QUERY","kARAef","even a texan would admit that it's humid in nyc today "
"0","2327889768","Thu Jun 25 08:54:50 PDT 2009","NO_QUERY","hannah_manson","@nicole_jordan Break a leg!!!!! Wish i could be there  Bring it to the UK"
"0","2327889774","Thu Jun 25 08:54:50 PDT 2009","NO_QUERY","sabaatorres","Spain lost yesterday  i HATE seeing Torres upset, it makes me sad =["
"0","2327890013","Thu Jun 25 08:54:51 PDT 2009","NO_QUERY","gogodancerSammy","@CountyBrown you guys just stopped loving me.   i was a hittman honey!  "
"0","2327890153","Thu Jun 25 08:54:52 PDT 2009","NO_QUERY","KunleIRAK","I didn't ask to star in it. I'm EP'ing it. Doesn't seem like I'm directing anything. It's all part of the show. Film. Saga. EPIC "
"0","2327890815","Thu Jun 25 08:54:55 PDT 2009","NO_QUERY","HannahPringle","and now i'm really hungry for pizza. not sure where to get that around here though "
"0","2327891182","Thu Jun 25 08:54:57 PDT 2009","NO_QUERY","smacula","@timegirl4468 i do most of that at work... its a hard life "
"0","2327891501","Thu Jun 25 08:54:58 PDT 2009","NO_QUERY","cassandraharles","Hate Rain  blah"
"0","2327891654","Thu Jun 25 08:54:59 PDT 2009","NO_QUERY","NinaMarieJane","Home. I have decided to ditch my interview  its too far. It will take me 1hr and 20 minutes to get down there not worth it"
"0","2327891896","Thu Jun 25 08:55:00 PDT 2009","NO_QUERY","NJKYLE1","well awake,my heads pounding..first day of tour hungover "
"0","2327892469","Thu Jun 25 08:55:03 PDT 2009","NO_QUERY","hanalulu12","@Luchianotracks Bottle of what on you? Lol... I dunno what to do for my bday and my friends aren't helping "
"0","2327892530","Thu Jun 25 08:55:03 PDT 2009","NO_QUERY","fionnualaward","i think i sunburnt my knees. "
"0","2327892714","Thu Jun 25 08:55:04 PDT 2009","NO_QUERY","smacula","@amyshell not for me  lol"
"0","2327901542","Thu Jun 25 08:55:43 PDT 2009","NO_QUERY","Chantel25","im bout 2 qo flat iron miie hair shoot i shoulda wrapped it last nite! grrrrrr "
"0","2327901752","Thu Jun 25 08:55:44 PDT 2009","NO_QUERY","Kylethepiratee","Watching hunter. Waiting for dad to get home. I'm hungry. "
"0","2327901776","Thu Jun 25 08:55:44 PDT 2009","NO_QUERY","wliyuans"," My turtle food! Its starving. ;( Im sorry, turtles. ;( I promise i buy tmr. ;("
"0","2327901905","Thu Jun 25 08:55:44 PDT 2009","NO_QUERY","NitaWalls","@richberra Yes Shaq went to the Cavs.  I love the Suns!! But now there will be Ben Wallace and Sasha Palovic. OMG Did I spell that right?"
"0","2327902220","Thu Jun 25 08:55:46 PDT 2009","NO_QUERY","SydneyKat","WEll than. I had a cruddy last day of school. "
"0","2327902752","Thu Jun 25 08:55:48 PDT 2009","NO_QUERY","brujaviral","is not looking forward to her return. "
"0","2327903254","Thu Jun 25 08:55:50 PDT 2009","NO_QUERY","tehchrister","Argh cramps.   C'mon midol, don't let me down "
"0","2327903410","Thu Jun 25 08:55:51 PDT 2009","NO_QUERY","llcj112","Has to transfer all his music onto his new memory card,, ohhh the woe "
"0","2327903484","Thu Jun 25 08:55:52 PDT 2009","NO_QUERY","raquelcooper","its such a nice day today but all iv done is had a drivin lesson and then cut the grass  all the rest has bin lookin 4 a job, hw depressin"
"0","2327903521","Thu Jun 25 08:55:52 PDT 2009","NO_QUERY","brokenwing2","says missed the artfire sneakers  http://plurk.com/p/13xk6q"
"0","2327903643","Thu Jun 25 08:55:52 PDT 2009","NO_QUERY","bart_de_bruijn","Too damn hot today "
"0","2327903666","Thu Jun 25 08:55:53 PDT 2009","NO_QUERY","CARLOS_LOERA","New day same job "
"0","2327903716","Thu Jun 25 08:55:53 PDT 2009","NO_QUERY","Miranda_K","Sad that the gatorade is gone "
"0","2327904020","Thu Jun 25 08:55:54 PDT 2009","NO_QUERY","DanielleHarter","Work..boo "
"0","2327904689","Thu Jun 25 08:55:58 PDT 2009","NO_QUERY","DittyDeedoo","Feel like a failure being a mother! My son wants to sleep with the maid! "
"0","2327904806","Thu Jun 25 08:55:58 PDT 2009","NO_QUERY","sowrongitslinds","I always cry at the Degrassi episode when JT dies "
"0","2327905117","Thu Jun 25 08:55:59 PDT 2009","NO_QUERY","Jahnaisrad","Lallalalla. What to do, what to do. Posibly out by the  poooooool. Hmm. I had no idea ftsk broke up.... "
"0","2327905708","Thu Jun 25 08:56:02 PDT 2009","NO_QUERY","Graduatesfilm","Last day w/ the summer interns "
"0","2327905886","Thu Jun 25 08:56:03 PDT 2009","NO_QUERY","marckieebug","i bombed my SAT'S. i just got put in a horibbble mood. i hate this "
"0","2327906205","Thu Jun 25 08:56:05 PDT 2009","NO_QUERY","Beezybfurb","My tummy hurts somethin terrible "
"0","2327906353","Thu Jun 25 08:56:05 PDT 2009","NO_QUERY","AAHAHelpingPets","@WebVet_com Oh, what a sad story! "
"0","2327907277","Thu Jun 25 08:56:09 PDT 2009","NO_QUERY","schmutzie","My husband, @palinode, is coming to BlogHer w/ me, but he has no pass  It is the saddest of our 1st world problems."
"0","2327907618","Thu Jun 25 08:56:11 PDT 2009","NO_QUERY","chukchakchenes","i feel sorry for myself "
"0","2327907740","Thu Jun 25 08:56:11 PDT 2009","NO_QUERY","sexyflory","What is the meaning of love   pushing the one ya love aside just cause you busy . . .  I going crazy here . Fuckin sick this shit"
"0","2327907787","Thu Jun 25 08:56:11 PDT 2009","NO_QUERY","ImaScorpioQueen","Ugh I hate this, my tummy hurt "
"0","2327907959","Thu Jun 25 08:56:12 PDT 2009","NO_QUERY","SeanMonroe","feeling really bad for Farrah Fawcett "
"0","2327908062","Thu Jun 25 08:56:12 PDT 2009","NO_QUERY","KellyHGay","Bummed. Been signed up for RWA 4ever, and might not be able to go b/c of possessed SUV that catches fire and only parks in reverse. . "
"0","2327908183","Thu Jun 25 08:56:13 PDT 2009","NO_QUERY","jessielthomas","ryan cabrera is in philly and i am not  "
"0","2327908521","Thu Jun 25 08:56:14 PDT 2009","NO_QUERY","ganjaboy74","I have to go to the supermarket.....  I hate it!!!!"
"0","2327908995","Thu Jun 25 08:56:16 PDT 2009","NO_QUERY","ABSOLUTEJEANIUS","@eviljeanius -- try rappin your way out of that... "
"0","2327909435","Thu Jun 25 08:56:18 PDT 2009","NO_QUERY","phanggigi","sleeping in the living room tonight w baby!!!! love baby to the max. throat very itchyyy  *sneeze*"
"0","2327909479","Thu Jun 25 08:56:18 PDT 2009","NO_QUERY","RafaellaFreitas","@DebbieFletcher Yeeeeeeeey! Finally!! Send a Happy Fathers Day to Bob! I know I'm very late, but is really difficult talk to you "
"0","2327910130","Thu Jun 25 08:56:21 PDT 2009","NO_QUERY","mskimmykim","is sad cuz I'm leaving 2mrw and hav 2 no pics of the trip cuz I left my camera in MaKayla baby bag "
"0","2327910427","Thu Jun 25 08:56:23 PDT 2009","NO_QUERY","DealzMakesBeats","this shit is whack...im out "
"0","2327911027","Thu Jun 25 08:56:25 PDT 2009","NO_QUERY","Loco56007","@TheMindofTippy you mean all people "
"0","2327911898","Thu Jun 25 08:56:29 PDT 2009","NO_QUERY","hellorachael","Waiting to go to shangri la, don't want to leave "
"0","2327912222","Thu Jun 25 08:56:31 PDT 2009","NO_QUERY","shesmyrushmore","@laurenemilyy 1) Your background pic is CRAZZYYYY.  2) My friend is amazing at color and she said my hair is too dark for any blonde. "
"0","2327912873","Thu Jun 25 08:56:34 PDT 2009","NO_QUERY","SpyderBite","Is stuck in DC until 4pm est.. That's a crazy delay for perfec weather. "
"0","2327913235","Thu Jun 25 08:56:35 PDT 2009","NO_QUERY","TrayCullen","my phone got stolen "
